,married couples and consensual unions together,lone parent with child(ren),together,together.1,of which: two-family household,Unnamed: 5,total,of which: one-person household,Unnamed: 8,county,ind
J15 Szigetszentmiklósi,24257,5439,29696,683,669,30379,11174,10131,41553,Pest county,J15 Szigetszentmiklósi
J16 Szobi,5138,1094,6232,145,142,6377,3071,2783,9448,Pest county,J16 Szobi
J17 Váci,14185,3401,17586,509,481,18095,7663,6891,25758,Pest county,J17 Váci
J18 Vecsési,10321,2366,12687,366,349,13053,4819,4294,17872,Pest county,J18 Vecsési
Statistical micro-regions,,,,,,,,,,Pest county,Statistical micro-regions
K01 Aszódi,7085,1531,8616,490,474,9106,3226,2817,12332,Pest county,K01 Aszódi
K02 Budaörsi,18377,4121,22498,390,381,22888,8763,7899,31651,Pest county,K02 Budaörsi
K03 Ceglédi,24040,6245,30285,643,613,30928,15123,13805,46051,Pest county,K03 Ceglédi
K04 Dabasi,9344,2049,11393,340,328,11733,4645,4194,16378,Pest county,K04 Dabasi
K05 Dunakeszi,18507,4240,22747,462,443,23209,8775,7981,31984,Pest county,K05 Dunakeszi
K06 Érdi,21736,5086,26822,680,656,27502,9909,8876,37411,Pest county,K06 Érdi
K07 Gödöllõi,23312,5228,28540,780,750,29320,10571,9479,39891,Pest county,K07 Gödöllõi
K08 Gyáli,10053,2213,12266,368,354,12634,4194,3739,16828,Pest county,K08 Gyáli
K09 Monori,23923,5535,29458,802,772,30260,11423,10179,41683,Pest county,K09 Monori
K10 Nagykátai,15413,3679,19092,532,511,19624,8580,7747,28204,Pest county,K10 Nagykátai
K11 Pilisvörösvári,15118,3126,18244,406,396,18650,6212,5529,24862,Pest county,K11 Pilisvörösvári
K12 Ráckevei,31825,7294,39119,908,883,40027,15563,14108,55590,Pest county,K12 Ráckevei
K13 Szentendrei,16785,3966,20751,359,349,21110,8370,7584,29480,Pest county,K13 Szentendrei
K14 Szobi,2511,577,3088,70,70,3158,1648,1494,4806,Pest county,K14 Szobi
K15 Váci,14780,3541,18321,498,469,18819,8327,7519,27146,Pest county,K15 Váci
K16 Veresegyházi,8162,1540,9702,297,291,9999,3167,2792,13166,Pest county,K16 Veresegyházi
Size-groups of population,,,,,,,,,,Pest county,Size-groups of population
Towns,,,,,,,,,,Pest county,Towns
Together,170549,40758,211307,4874,4678,216181,85598,77194,301779,Pest county,Together
Villages,,,,,,,,,,Pest county,Villages
  199 and less,12,4,16,1,1,17,21,21,38,Pest county,  199 and less
Together,90422,19213,109635,3151,3062,112786,42898,38548,155684,Pest county,Together
Total,260971,59971,320942,8025,7740,328967,128496,115742,457463,Pest county,Total
Of which:,,,,,,,,,,Pest county,Of which:
Data of localities,,,,,,,,,,Pest county,Data of localities
County seat,,,,,,,,,,Pest county,County seat
Other town of county right,,,,,,,,,,Pest county,Other town of county right
J06 K06 Érd,13753,3203,16956,528,508,17484,5965,5276,23449,Pest county,J06 K06 Érd
Other towns,,,,,,,,,,Pest county,Other towns
J03 K03 Abony,3089,726,3815,92,85,3907,1689,1548,5596,Pest county,J03 K03 Abony
J03 K03 Albertirsa,2517,564,3081,97,93,3178,1410,1257,4588,Pest county,J03 K03 Albertirsa
J01 K01 Aszód,1314,332,1646,41,41,1687,659,587,2346,Pest county,J01 K01 Aszód
J02 K02 Biatorbágy,2797,512,3309,62,60,3371,1174,1045,4545,Pest county,J02 K02 Biatorbágy
J14 K13 Budakalász,2302,550,2852,47,45,2899,1056,948,3955,Pest county,J14 K13 Budakalász
J02 K02 Budakeszi,2908,695,3603,54,53,3657,1644,1496,5301,Pest county,J02 K02 Budakeszi
J02 K02 Budaörs,5756,1482,7238,98,96,7336,3193,2899,10529,Pest county,J02 K02 Budaörs
J03 K03 Cegléd,7317,2138,9455,173,163,9628,5049,4599,14677,Pest county,J03 K03 Cegléd
J04 K04 Dabas,3519,836,4355,109,105,4464,1756,1580,6220,Pest county,J04 K04 Dabas
J15 K12 Dunaharaszti,4492,989,5481,146,140,5627,2044,1827,7671,Pest county,J15 K12 Dunaharaszti
J05 K05 Dunakeszi,9053,2078,11131,180,173,11311,4646,4271,15957,Pest county,J05 K05 Dunakeszi
J15 K12 Dunavarsány,1626,398,2024,45,45,2069,721,662,2790,Pest county,J15 K12 Dunavarsány
J05 K05 Fót,4162,987,5149,144,134,5293,1827,1659,7120,Pest county,J05 K05 Fót
J05 K05 Göd,3855,866,4721,96,94,4817,1749,1552,6566,Pest county,J05 K05 Göd
J07 K07 Gödöllõ,6518,1642,8160,178,165,8338,3677,3315,12015,Pest county,J07 K07 Gödöllõ
J08 K08 Gyál,5004,1202,6206,197,188,6403,1951,1719,8354,Pest county,J08 K08 Gyál
J09 K09 Gyömrõ,3495,728,4223,85,84,4308,1556,1392,5864,Pest county,J09 K09 Gyömrõ
J15 K12 Halásztelek,2106,430,2536,65,64,2601,920,848,3521,Pest county,J15 K12 Halásztelek
J07 K07 Isaszeg,2366,497,2863,94,92,2957,1031,911,3988,Pest county,J07 K07 Isaszeg
J07 K07 Kistarcsa,2657,618,3275,74,73,3349,1152,1046,4501,Pest county,J07 K07 Kistarcsa
J18 K09 Maglód,2580,560,3140,105,98,3245,975,851,4220,Pest county,J18 K09 Maglód
J09 K09 Monor,3663,958,4621,148,140,4769,1871,1645,6640,Pest county,J09 K09 Monor
J10 K10 Nagykáta,2644,659,3303,74,65,3377,1441,1332,4818,Pest county,J10 K10 Nagykáta
J11 K03 Nagykõrös,4906,1423,6329,83,80,6412,3395,3141,9807,Pest county,J11 K03 Nagykõrös
J16 K15 Nagymaros,1037,216,1253,18,17,1271,603,554,1874,Pest county,J16 K15 Nagymaros
J08 K08 Ócsa,2007,376,2383,70,67,2453,874,773,3327,Pest county,J08 K08 Ócsa
J04 K04 Örkény,947,233,1180,55,51,1235,496,444,1731,Pest county,J04 K04 Örkény
J07 K07 Pécel,3219,664,3883,127,120,4010,1264,1107,5274,Pest county,J07 K07 Pécel
