,married couples and consensual unions together,lone parent with child(ren),together,together.1,of which: two-family household,Unnamed: 5,total,of which: one-person household,Unnamed: 8,county,ind
District 1,4311.0,1442.0,5753.0,22.0,22.0,5775.0,7606.0,6988.0,13381.0,Budapest,District 1
District 2,18198.0,4645.0,22843.0,152.0,149.0,22995.0,18759.0,17441.0,41754.0,Budapest,District 2
District 3,24867.0,8754.0,33621.0,286.0,284.0,33907.0,24168.0,22193.0,58075.0,Budapest,District 3
District 4,19838.0,6777.0,26615.0,249.0,244.0,26864.0,17639.0,16219.0,44503.0,Budapest,District 4
District 5,4183.0,1645.0,5828.0,31.0,31.0,5859.0,8760.0,7974.0,14619.0,Budapest,District 5
District 6,6498.0,2493.0,8991.0,48.0,48.0,9039.0,12954.0,11657.0,21993.0,Budapest,District 6
District 7,9338.0,3869.0,13207.0,103.0,101.0,13310.0,17584.0,15692.0,30894.0,Budapest,District 7
District 8,12521.0,5206.0,17727.0,180.0,175.0,17907.0,21378.0,19048.0,39285.0,Budapest,District 8
District 9,10690.0,3813.0,14503.0,107.0,102.0,14610.0,19025.0,17027.0,33635.0,Budapest,District 9
District 10,14892.0,5310.0,20202.0,220.0,212.0,20422.0,15531.0,14104.0,35953.0,Budapest,District 10
District 11,26774.0,7964.0,34738.0,219.0,215.0,34957.0,34876.0,32262.0,69833.0,Budapest,District 11
District 12,11542.0,3102.0,14644.0,68.0,68.0,14712.0,13595.0,12748.0,28307.0,Budapest,District 12
District 13,21973.0,7589.0,29562.0,168.0,163.0,29730.0,33934.0,31132.0,63664.0,Budapest,District 13
District 14,23646.0,7621.0,31267.0,182.0,178.0,31449.0,33214.0,30701.0,64663.0,Budapest,District 14
District 15,15666.0,5722.0,21388.0,227.0,215.0,21615.0,14317.0,12936.0,35932.0,Budapest,District 15
District 16,15437.0,4006.0,19443.0,370.0,360.0,19813.0,9918.0,8992.0,29731.0,Budapest,District 16
District 17,18161.0,4987.0,23148.0,406.0,394.0,23554.0,9731.0,8692.0,33285.0,Budapest,District 17
District 18,20712.0,6150.0,26862.0,433.0,425.0,27295.0,14797.0,13522.0,42092.0,Budapest,District 18
District 19,12025.0,3958.0,15983.0,233.0,224.0,16216.0,9946.0,9008.0,26162.0,Budapest,District 19
District 20,12936.0,4079.0,17015.0,294.0,277.0,17309.0,11907.0,10908.0,29216.0,Budapest,District 20
District 21,15031.0,5171.0,20202.0,245.0,235.0,20447.0,11883.0,10805.0,32330.0,Budapest,District 21
District 22,11430.0,3098.0,14528.0,191.0,187.0,14719.0,7226.0,6562.0,21945.0,Budapest,District 22
District 23,4310.0,1277.0,5587.0,121.0,117.0,5708.0,2748.0,2504.0,8456.0,Budapest,District 23
Capital total,334979.0,108678.0,443657.0,4555.0,4426.0,448212.0,371496.0,339115.0,819708.0,Budapest,Capital total
Towns of county right,30838,8929,39767,495,480,40262,28796,26277,69058,Baranya county,Towns of county right
Other towns,21430,5253,26683,522,515,27205,13439,12261,40644,Baranya county,Other towns
Towns together,52268,14182,66450,1017,995,67467,42235,38538,109702,Baranya county,Towns together
Villages,28606,6029,34635,1240,1217,35875,14463,12796,50338,Baranya county,Villages
County total,80874,20211,101085,2257,2212,103342,56698,51334,160040,Baranya county,County total
Districts,,,,,,,,,,Baranya county,Districts
J01 Bólyi,2652,413,3065,112,111,3177,1159,1038,4336,Baranya county,J01 Bólyi
J02 Hegyháti,2817,587,3404,105,103,3509,1429,1272,4938,Baranya county,J02 Hegyháti
J03 Komlói,7831,2038,9869,148,147,10017,5560,5110,15577,Baranya county,J03 Komlói
J04 Mohácsi,7651,1744,9395,254,250,9649,4773,4338,14422,Baranya county,J04 Mohácsi
J05 Pécsi,38127,10326,48453,789,767,49242,31820,28933,81062,Baranya county,J05 Pécsi
J06 Pécsváradi,2653,494,3147,122,120,3269,1275,1128,4544,Baranya county,J06 Pécsváradi
J07 Sellyei,2981,716,3697,123,123,3820,1636,1451,5456,Baranya county,J07 Sellyei
J08 Siklósi,7677,1831,9508,303,296,9811,4394,3909,14205,Baranya county,J08 Siklósi
J09 Szentlõrinci,3161,722,3883,120,118,4003,1602,1415,5605,Baranya county,J09 Szentlõrinci
J10 Szigetvári,5324,1340,6664,181,177,6845,3050,2740,9895,Baranya county,J10 Szigetvári
Statistical micro-regions,,,,,,,,,,Baranya county,Statistical micro-regions
K01 Komlói,8376,2114,10490,175,173,10665,5732,5257,16397,Baranya county,K01 Komlói
K02 Mohácsi,10495,2191,12686,375,370,13061,6034,5467,19095,Baranya county,K02 Mohácsi
K03 Pécsi,37304,10173,47477,753,733,48230,31473,28631,79703,Baranya county,K03 Pécsi
K04 Pécsváradi,2715,534,3249,128,125,3377,1318,1162,4695,Baranya county,K04 Pécsváradi
K05 Sásdi,3059,642,3701,118,116,3819,1556,1379,5375,Baranya county,K05 Sásdi
K06 Sellyei,2763,664,3427,104,104,3531,1539,1374,5070,Baranya county,K06 Sellyei
K07 Siklósi,7677,1831,9508,303,296,9811,4394,3909,14205,Baranya county,K07 Siklósi
K08 Szentlõrinci,3092,709,3801,119,117,3920,1558,1371,5478,Baranya county,K08 Szentlõrinci
K09 Szigetvári,5393,1353,6746,182,178,6928,3094,2784,10022,Baranya county,K09 Szigetvári
Size-groups of population,,,,,,,,,,Baranya county,Size-groups of population
Towns,,,,,,,,,,Baranya county,Towns
Together,52268,14182,66450,1017,995,67467,42235,38538,109702,Baranya county,Together
Villages,,,,,,,,,,Baranya county,Villages
  199 and less,2522,652,3174,122,121,3296,1725,1554,5021,Baranya county,  199 and less
Together,28606,6029,34635,1240,1217,35875,14463,12796,50338,Baranya county,Together
Total,80874,20211,101085,2257,2212,103342,56698,51334,160040,Baranya county,Total
Of which:,,,,,,,,,,Baranya county,Of which:
Data of localities,,,,,,,,,,Baranya county,Data of localities
County seat,,,,,,,,,,Baranya county,County seat
J05 K03 Pécs,30838,8929,39767,495,480,40262,28796,26277,69058,Baranya county,J05 K03 Pécs
Other towns,,,,,,,,,,Baranya county,Other towns
J01 K02 Bóly,880,123,1003,32,31,1035,389,360,1424,Baranya county,J01 K02 Bóly
J08 K07 Harkány,879,217,1096,23,23,1119,631,581,1750,Baranya county,J08 K07 Harkány
J03 K01 Komló,5198,1577,6775,50,50,6825,4245,3943,11070,Baranya county,J03 K01 Komló
J05 K03 Kozármisleny,1396,231,1627,48,46,1675,415,365,2090,Baranya county,J05 K03 Kozármisleny
J02 K05 Mágocs,555,92,647,25,24,672,267,239,939,Baranya county,J02 K05 Mágocs
J04 K02 Mohács,3837,962,4799,84,84,4883,2712,2487,7595,Baranya county,J04 K02 Mohács
J06 K04 Pécsvárad,894,164,1058,41,40,1099,379,348,1478,Baranya county,J06 K04 Pécsvárad
J02 K05 Sásd,736,159,895,34,33,929,362,330,1291,Baranya county,J02 K05 Sásd
J07 K06 Sellye,601,155,756,25,25,781,341,304,1122,Baranya county,J07 K06 Sellye
J08 K07 Siklós,2068,557,2625,43,42,2668,1287,1159,3955,Baranya county,J08 K07 Siklós
J09 K08 Szentlõrinc,1484,325,1809,50,50,1859,718,642,2577,Baranya county,J09 K08 Szentlõrinc
J10 K09 Szigetvár,2340,577,2917,48,48,2965,1428,1270,4393,Baranya county,J10 K09 Szigetvár
J08 K07 Villány,562,114,676,19,19,695,265,233,960,Baranya county,J08 K07 Villány
Villages,,,,,,,,,,Baranya county,Villages
J05 K03 Abaliget,130,29,159,.,.,159,89,82,248,Baranya county,J05 K03 Abaliget
J07 K06 Adorjás,41,2,43,1,1,44,12,10,56,Baranya county,J07 K06 Adorjás
J02 K05 Ág,42,7,49,.,.,49,18,14,67,Baranya county,J02 K05 Ág
J10 K09 Almamellék,82,14,96,6,5,102,44,36,146,Baranya county,J10 K09 Almamellék
J10 K09 Almáskeresztúr,15,7,22,.,.,22,19,18,41,Baranya county,J10 K09 Almáskeresztúr
J02 K05 Alsómocsolád,62,14,76,1,1,77,33,31,110,Baranya county,J02 K05 Alsómocsolád
J08 K07 Alsószentmárton,197,26,223,40,38,263,25,18,288,Baranya county,J08 K07 Alsószentmárton
J06 K04 Apátvarasd,21,3,24,5,5,29,7,4,36,Baranya county,J06 K04 Apátvarasd
J05 K03 Aranyosgadány,66,18,84,1,1,85,63,57,148,Baranya county,J05 K03 Aranyosgadány
J05 K03 Áta,37,6,43,4,4,47,30,25,77,Baranya county,J05 K03 Áta
J01 K02 Babarc,170,31,201,7,7,208,88,75,296,Baranya county,J01 K02 Babarc
J08 K07 Babarcszõlõs,22,4,26,1,1,27,15,14,42,Baranya county,J08 K07 Babarcszõlõs
J02 K05 Bakóca,63,17,80,.,.,80,41,34,121,Baranya county,J02 K05 Bakóca
J05 K03 Bakonya,69,18,87,3,3,90,46,41,136,Baranya county,J05 K03 Bakonya
J07 K03 Baksa,160,32,192,13,13,205,63,46,268,Baranya county,J07 K03 Baksa
J10 K09 Bánfa,43,5,48,1,1,49,22,20,71,Baranya county,J10 K09 Bánfa
J04 K02 Bár,123,28,151,4,4,155,81,69,236,Baranya county,J04 K02 Bár
J07 K06 Baranyahídvég,38,12,50,3,3,53,14,11,67,Baranya county,J07 K06 Baranyahídvég
J02 K05 Baranyajenõ,77,27,104,5,5,109,45,38,154,Baranya county,J02 K05 Baranyajenõ
J02 K05 Baranyaszentgyörgy,30,8,38,1,1,39,22,21,61,Baranya county,J02 K05 Baranyaszentgyörgy
J10 K09 Basal,37,8,45,3,3,48,18,18,66,Baranya county,J10 K09 Basal
J01 K02 Belvárdgyula,97,14,111,.,.,111,37,35,148,Baranya county,J01 K02 Belvárdgyula
J08 K07 Beremend,548,127,675,32,32,707,311,264,1018,Baranya county,J08 K07 Beremend
J05 K04 Berkesd,171,47,218,12,11,230,83,73,313,Baranya county,J05 K04 Berkesd
J07 K06 Besence,18,6,24,.,.,24,24,21,48,Baranya county,J07 K06 Besence
J04 K02 Bezedek,38,19,57,5,5,62,26,24,88,Baranya county,J04 K02 Bezedek
J09 K08 Bicsérd,226,40,266,12,12,278,89,72,367,Baranya county,J09 K08 Bicsérd
J03 K05 Bikal,184,32,216,10,10,226,93,79,319,Baranya county,J03 K05 Bikal
J05 K03 Birján,121,25,146,2,2,148,46,44,194,Baranya county,J05 K03 Birján
J08 K07 Bisse,48,15,63,1,1,64,37,34,101,Baranya county,J08 K07 Bisse
J09 K08 Boda,82,24,106,3,3,109,49,41,158,Baranya county,J09 K08 Boda
J03 K01 Bodolyabér,55,9,64,2,2,66,28,25,94,Baranya county,J03 K01 Bodolyabér
J05 K03 Bogád,237,45,282,9,9,291,88,77,379,Baranya county,J05 K03 Bogád
J07 K06 Bogádmindszent,83,19,102,8,8,110,23,17,133,Baranya county,J07 K06 Bogádmindszent
J07 K06 Bogdása,60,13,73,.,.,73,50,46,123,Baranya county,J07 K06 Bogdása
J10 K09 Boldogasszonyfa,87,27,114,4,4,118,54,51,172,Baranya county,J10 K09 Boldogasszonyfa
J01 K02 Borjád,89,18,107,1,1,108,40,34,148,Baranya county,J01 K02 Borjád
J05 K03 Bosta,20,14,34,2,2,36,17,13,53,Baranya county,J05 K03 Bosta
J10 K09 Botykapeterd,61,10,71,5,4,76,27,23,103,Baranya county,J10 K09 Botykapeterd
J09 K08 Bükkösd,244,49,293,10,8,303,139,119,442,Baranya county,J09 K08 Bükkösd
J10 K09 Bürüs,15,3,18,.,.,18,16,16,34,Baranya county,J10 K09 Bürüs
J08 K07 Cún,39,15,54,2,2,56,31,24,87,Baranya county,J08 K07 Cún
J07 K06 Csányoszró,152,39,191,2,2,193,73,63,266,Baranya county,J07 K06 Csányoszró
J08 K07 Csarnóta,30,6,36,1,1,37,16,11,53,Baranya county,J08 K07 Csarnóta
J10 K09 Csebény,18,4,22,1,1,23,13,13,36,Baranya county,J10 K09 Csebény
J09 K08 Cserdi,69,23,92,2,2,94,48,39,142,Baranya county,J09 K08 Cserdi
J05 K03 Cserkút,137,24,161,.,.,161,66,60,227,Baranya county,J05 K03 Cserkút
J10 K09 Csertõ,82,14,96,3,3,99,45,42,144,Baranya county,J10 K09 Csertõ
J09 K08 Csonkamindszent,35,8,43,2,2,45,16,15,61,Baranya county,J09 K08 Csonkamindszent
J10 K09 Dencsháza,123,39,162,9,9,171,50,49,221,Baranya county,J10 K09 Dencsháza
J09 K08 Dinnyeberki,17,2,19,1,1,20,21,20,41,Baranya county,J09 K08 Dinnyeberki
J08 K07 Diósviszló,140,41,181,11,11,192,64,56,256,Baranya county,J08 K07 Diósviszló
J08 K07 Drávacsehi,45,7,52,1,1,53,19,18,72,Baranya county,J08 K07 Drávacsehi
J08 K07 Drávacsepely,51,6,57,2,1,59,23,22,82,Baranya county,J08 K07 Drávacsepely
J07 K06 Drávafok,101,30,131,1,1,132,59,56,191,Baranya county,J07 K06 Drávafok
J07 K06 Drávaiványi,33,10,43,.,.,43,29,25,72,Baranya county,J07 K06 Drávaiványi
J07 K06 Drávakeresztúr,16,7,23,.,.,23,31,29,54,Baranya county,J07 K06 Drávakeresztúr
J08 K07 Drávapalkonya,46,18,64,4,3,68,27,25,95,Baranya county,J08 K07 Drávapalkonya
J08 K07 Drávapiski,18,4,22,.,.,22,14,11,36,Baranya county,J08 K07 Drávapiski
J08 K07 Drávaszabolcs,156,37,193,5,5,198,75,66,273,Baranya county,J08 K07 Drávaszabolcs
J08 K07 Drávaszerdahely,36,11,47,3,3,50,23,22,73,Baranya county,J08 K07 Drávaszerdahely
J07 K06 Drávasztára,88,12,100,4,4,104,83,72,187,Baranya county,J07 K06 Drávasztára
J04 K02 Dunaszekcsõ,424,97,521,13,11,534,282,260,816,Baranya county,J04 K02 Dunaszekcsõ
J05 K03 Egerág,208,40,248,18,18,266,85,71,351,Baranya county,J05 K03 Egerág
J08 K07 Egyházasharaszti,65,16,81,3,3,84,31,28,115,Baranya county,J08 K07 Egyházasharaszti
J03 K01 Egyházaskozár,203,26,229,9,9,238,97,92,335,Baranya county,J03 K01 Egyházaskozár
J05 K03 Ellend,47,13,60,1,1,61,33,29,94,Baranya county,J05 K03 Ellend
J10 K09 Endrõc,90,21,111,.,.,111,33,28,144,Baranya county,J10 K09 Endrõc
J04 K02 Erdõsmárok,21,3,24,1,1,25,8,8,33,Baranya county,J04 K02 Erdõsmárok
J06 K04 Erdõsmecske,76,19,95,1,1,96,52,41,148,Baranya county,J06 K04 Erdõsmecske
J06 K04 Erzsébet,65,9,74,1,1,75,35,31,110,Baranya county,J06 K04 Erzsébet
J06 K04 Fazekasboda,49,9,58,.,.,58,25,25,83,Baranya county,J06 K04 Fazekasboda
J04 K02 Feked,42,7,49,6,6,55,36,36,91,Baranya county,J04 K02 Feked
J02 K05 Felsõegerszeg,31,6,37,1,1,38,20,18,58,Baranya county,J02 K05 Felsõegerszeg
J07 K06 Felsõszentmárton,233,39,272,9,9,281,148,133,429,Baranya county,J07 K06 Felsõszentmárton
J08 K07 Garé,70,14,84,.,.,84,29,26,113,Baranya county,J08 K07 Garé
J09 K08 Gerde,117,27,144,1,1,145,41,38,186,Baranya county,J09 K08 Gerde
J02 K05 Gerényes,59,8,67,1,1,68,25,23,93,Baranya county,J02 K05 Gerényes
J06 K02 Geresdlak,192,34,226,9,9,235,102,91,337,Baranya county,J06 K02 Geresdlak
J07 K06 Gilvánfa,54,15,69,6,6,75,16,14,91,Baranya county,J07 K06 Gilvánfa
J08 K07 Gordisa,56,16,72,1,1,73,20,15,93,Baranya county,J08 K07 Gordisa
J02 K05 Gödre,183,59,242,11,11,253,95,80,348,Baranya county,J02 K05 Gödre
J05 K03 Görcsöny,314,64,378,15,14,393,138,121,531,Baranya county,J05 K03 Görcsöny
J04 K02 Görcsönydoboka,92,14,106,5,5,111,38,34,149,Baranya county,J04 K02 Görcsönydoboka
J05 K03 Gyód,145,27,172,14,14,186,76,69,262,Baranya county,J05 K03 Gyód
J09 K08 Gyöngyfa,24,7,31,.,.,31,22,22,53,Baranya county,J09 K08 Gyöngyfa
J10 K09 Gyöngyösmellék,61,13,74,1,1,75,47,45,122,Baranya county,J10 K09 Gyöngyösmellék
J01 K02 Hásságy,61,10,71,6,6,77,30,25,107,Baranya county,J01 K02 Hásságy
J03 K01 Hegyhátmaróc,28,6,34,4,4,38,24,20,62,Baranya county,J03 K01 Hegyhátmaróc
J07 K06 Hegyszentmárton,86,23,109,3,3,112,42,40,154,Baranya county,J07 K06 Hegyszentmárton
J09 K08 Helesfa,76,15,91,3,3,94,35,32,129,Baranya county,J09 K08 Helesfa
J09 K08 Hetvehely,97,13,110,10,10,120,42,35,162,Baranya county,J09 K08 Hetvehely
J06 K04 Hidas,475,86,561,26,25,587,216,189,803,Baranya county,J06 K04 Hidas
J04 K02 Himesháza,245,52,297,14,13,311,115,101,426,Baranya county,J04 K02 Himesháza
J07 K06 Hirics,40,12,52,.,.,52,31,27,83,Baranya county,J07 K06 Hirics
J10 K09 Hobol,219,45,264,10,10,274,85,72,359,Baranya county,J10 K09 Hobol
J04 K02 Homorúd,145,32,177,1,1,178,137,132,315,Baranya county,J04 K02 Homorúd
J10 K09 Horváthertelend,15,5,20,1,1,21,5,4,26,Baranya county,J10 K09 Horváthertelend
J05 K01 Hosszúhetény,787,131,918,40,39,958,299,254,1257,Baranya county,J05 K01 Hosszúhetény
J05 K03 Husztót,13,2,15,1,1,16,11,11,27,Baranya county,J05 K03 Husztót
J10 K09 Ibafa,49,9,58,1,1,59,32,30,91,Baranya county,J10 K09 Ibafa
J08 K07 Illocska,55,9,64,.,.,64,21,17,85,Baranya county,J08 K07 Illocska
J08 K07 Ipacsfa,36,10,46,2,2,48,24,21,72,Baranya county,J08 K07 Ipacsfa
J08 K07 Ivánbattyán,22,6,28,2,2,30,27,25,57,Baranya county,J08 K07 Ivánbattyán
J04 K02 Ivándárda,54,6,60,1,1,61,33,29,94,Baranya county,J04 K02 Ivándárda
J09 K08 Kacsóta,57,14,71,1,1,72,30,25,102,Baranya county,J09 K08 Kacsóta
J07 K06 Kákics,44,14,58,1,1,59,33,28,92,Baranya county,J07 K06 Kákics
J03 K01 Kárász,71,14,85,7,7,92,38,36,130,Baranya county,J03 K01 Kárász
J08 K07 Kásád,78,15,93,2,2,95,24,22,119,Baranya county,J08 K07 Kásád
J10 K09 Katádfa,32,9,41,2,1,43,17,17,60,Baranya county,J10 K09 Katádfa
J06 K04 Kátoly,73,10,83,3,3,86,47,41,133,Baranya county,J06 K04 Kátoly
J06 K04 Kékesd,37,8,45,.,.,45,27,26,72,Baranya county,J06 K04 Kékesd
J08 K07 Kémes,94,20,114,7,6,121,56,45,177,Baranya county,J08 K07 Kémes
J07 K06 Kemse,13,4,17,1,1,18,5,5,23,Baranya county,J07 K06 Kemse
J05 K03 Keszü,298,51,349,7,7,356,97,83,453,Baranya county,J05 K03 Keszü
J10 K09 Kétújfalu,150,39,189,5,5,194,86,79,280,Baranya county,J10 K09 Kétújfalu
J09 K08 Királyegyháza,171,49,220,11,11,231,101,85,332,Baranya county,J09 K08 Királyegyháza
J07 K06 Kisasszonyfa,37,9,46,1,1,47,18,15,65,Baranya county,J07 K06 Kisasszonyfa
J02 K05 Kisbeszterce,20,3,23,1,1,24,11,11,35,Baranya county,J02 K05 Kisbeszterce
J01 K02 Kisbudmér,26,5,31,.,.,31,5,5,36,Baranya county,J01 K02 Kisbudmér
J08 K07 Kisdér,23,4,27,2,2,29,18,18,47,Baranya county,J08 K07 Kisdér
J10 K09 Kisdobsza,56,12,68,2,2,70,15,13,85,Baranya county,J10 K09 Kisdobsza
J02 K05 Kishajmás,40,10,50,1,1,51,31,29,82,Baranya county,J02 K05 Kishajmás
J08 K07 Kisharsány,112,31,143,4,4,147,66,60,213,Baranya county,J08 K07 Kisharsány
J05 K03 Kisherend,36,9,45,2,2,47,30,25,77,Baranya county,J05 K03 Kisherend
J08 K07 Kisjakabfalva,25,12,37,.,.,37,24,23,61,Baranya county,J08 K07 Kisjakabfalva
J08 K07 Kiskassa,57,11,68,1,1,69,25,24,94,Baranya county,J08 K07 Kiskassa
J08 K07 Kislippó,65,9,74,2,2,76,28,23,104,Baranya county,J08 K07 Kislippó
J04 K02 Kisnyárád,31,11,42,1,1,43,34,30,77,Baranya county,J04 K02 Kisnyárád
J10 K09 Kistamási,25,9,34,1,1,35,10,9,45,Baranya county,J10 K09 Kistamási
J08 K07 Kistapolca,39,11,50,2,2,52,22,19,74,Baranya county,J08 K07 Kistapolca
J08 K07 Kistótfalu,67,14,81,3,3,84,39,33,123,Baranya county,J08 K07 Kistótfalu
J02 K05 Kisvaszar,61,16,77,5,5,82,28,25,110,Baranya county,J02 K05 Kisvaszar
J07 K06 Kisszentmárton,49,10,59,2,2,61,24,20,85,Baranya county,J07 K06 Kisszentmárton
J07 K06 Kórós,50,12,62,1,1,63,15,14,78,Baranya county,J07 K06 Kórós
J08 K07 Kovácshida,54,8,62,4,4,66,27,21,93,Baranya county,J08 K07 Kovácshida
J05 K03 Kovácsszénája,17,6,23,.,.,23,10,10,33,Baranya county,J05 K03 Kovácsszénája
J03 K01 Köblény,50,9,59,2,2,61,32,31,93,Baranya county,J03 K01 Köblény
J05 K03 Kökény,132,26,158,8,8,166,62,54,228,Baranya county,J05 K03 Kökény
J04 K02 Kölked,197,46,243,8,8,251,110,104,361,Baranya county,J04 K02 Kölked
J05 K03 Kõvágószõlõs,255,76,331,17,16,348,164,148,512,Baranya county,J05 K03 Kõvágószõlõs
J05 K03 Kõvágótöttös,81,20,101,.,.,101,35,29,136,Baranya county,J05 K03 Kõvágótöttös
J04 K02 Lánycsók,548,116,664,23,23,687,212,176,899,Baranya county,J04 K02 Lánycsók
J08 K07 Lapáncsa,45,6,51,2,2,53,25,22,78,Baranya county,J08 K07 Lapáncsa
J03 K01 Liget,91,16,107,7,7,114,33,29,147,Baranya county,J03 K01 Liget
J04 K02 Lippó,107,19,126,9,9,135,57,52,192,Baranya county,J04 K02 Lippó
J01 K02 Liptód,43,9,52,1,1,53,51,48,104,Baranya county,J01 K02 Liptód
J05 K03 Lothárd,58,8,66,1,1,67,38,32,105,Baranya county,J05 K03 Lothárd
J06 K04 Lovászhetény,60,14,74,.,.,74,30,25,104,Baranya county,J06 K04 Lovászhetény
J07 K06 Lúzsok,45,12,57,1,1,58,15,14,73,Baranya county,J07 K06 Lúzsok
J08 K07 Magyarbóly,205,42,247,10,10,257,107,94,364,Baranya county,J08 K07 Magyarbóly
J03 K01 Magyaregregy,184,32,216,9,9,225,86,74,311,Baranya county,J03 K01 Magyaregregy
J03 K01 Magyarhertelend,147,26,173,2,2,175,79,63,254,Baranya county,J03 K01 Magyarhertelend
J10 K09 Magyarlukafa,15,6,21,.,.,21,13,13,34,Baranya county,J10 K09 Magyarlukafa
J07 K06 Magyarmecske,53,23,76,.,.,76,29,26,105,Baranya county,J07 K06 Magyarmecske
J05 K03 Magyarsarlós,63,7,70,6,6,76,26,23,102,Baranya county,J05 K03 Magyarsarlós
J03 K01 Magyarszék,275,33,308,4,4,312,86,75,398,Baranya county,J03 K01 Magyarszék
J07 K06 Magyartelek,40,8,48,5,5,53,14,12,67,Baranya county,J07 K06 Magyartelek
J04 K02 Majs,218,39,257,7,7,264,116,108,380,Baranya county,J04 K02 Majs
J03 K01 Mánfa,180,49,229,4,4,233,113,95,346,Baranya county,J03 K01 Mánfa
J04 K02 Maráza,33,7,40,4,4,44,31,31,75,Baranya county,J04 K02 Maráza
J08 K07 Márfa,40,8,48,2,2,50,25,21,75,Baranya county,J08 K07 Márfa
J01 K02 Máriakéménd,105,21,126,2,2,128,68,65,196,Baranya county,J01 K02 Máriakéménd
J07 K06 Markóc,9,8,17,.,.,17,12,11,29,Baranya county,J07 K06 Markóc
J07 K06 Marócsa,15,6,21,1,1,22,19,18,41,Baranya county,J07 K06 Marócsa
J08 K07 Márok,108,23,131,.,.,131,45,39,176,Baranya county,J08 K07 Márok
J06 K04 Martonfa,42,17,59,.,.,59,17,14,76,Baranya county,J06 K04 Martonfa
J08 K07 Matty,75,15,90,3,3,93,44,37,137,Baranya county,J08 K07 Matty
J03 K01 Máza,279,48,327,8,7,335,156,140,491,Baranya county,J03 K01 Máza
J06 K04 Mecseknádasd,374,60,434,14,14,448,171,147,619,Baranya county,J06 K04 Mecseknádasd
J03 K01 Mecsekpölöske,103,17,120,1,1,121,33,31,154,Baranya county,J03 K01 Mecsekpölöske
J02 K05 Mekényes,79,3,82,.,.,82,39,35,121,Baranya county,J02 K05 Mekényes
J10 K09 Merenye,49,18,67,4,4,71,34,30,105,Baranya county,J10 K09 Merenye
J02 K05 Mezõd,29,4,33,1,1,34,26,24,60,Baranya county,J02 K05 Mezõd
J02 K05 Mindszentgodisa,192,32,224,4,4,228,91,77,319,Baranya county,J02 K05 Mindszentgodisa
J10 K09 Molvány,43,8,51,1,1,52,22,17,74,Baranya county,J10 K09 Molvány
J01 K02 Monyoród,30,9,39,2,2,41,20,19,61,Baranya county,J01 K02 Monyoród
J10 K09 Mozsgó,191,43,234,9,9,243,84,76,327,Baranya county,J10 K09 Mozsgó
J01 K02 Nagybudmér,41,5,46,3,3,49,21,18,70,Baranya county,J01 K02 Nagybudmér
J07 K06 Nagycsány,29,10,39,1,1,40,13,13,53,Baranya county,J07 K06 Nagycsány
J10 K09 Nagydobsza,140,27,167,9,9,176,52,44,228,Baranya county,J10 K09 Nagydobsza
J02 K05 Nagyhajmás,73,15,88,4,4,92,37,33,129,Baranya county,J02 K05 Nagyhajmás
J08 K07 Nagyharsány,317,58,375,22,22,397,168,149,565,Baranya county,J08 K07 Nagyharsány
J05 K03 Nagykozár,467,63,530,9,9,539,108,98,647,Baranya county,J05 K03 Nagykozár
J04 K02 Nagynyárád,163,29,192,15,15,207,75,65,282,Baranya county,J04 K02 Nagynyárád
J06 K04 Nagypall,82,16,98,6,6,104,37,31,141,Baranya county,J06 K04 Nagypall
J10 K09 Nagypeterd,146,20,166,11,11,177,61,57,238,Baranya county,J10 K09 Nagypeterd
J08 K07 Nagytótfalu,69,23,92,6,6,98,36,33,134,Baranya county,J08 K07 Nagytótfalu
J10 K09 Nagyváty,78,15,93,1,1,94,30,24,124,Baranya county,J10 K09 Nagyváty
J10 K09 Nemeske,44,25,69,.,.,69,33,29,102,Baranya county,J10 K09 Nemeske
J10 K09 Nyugotszenterzsébet,32,22,54,.,.,54,49,49,103,Baranya county,J10 K09 Nyugotszenterzsébet
J06 K04 Óbánya,24,9,33,.,.,33,17,15,50,Baranya county,J06 K04 Óbánya
J05 K03 Ócsárd,96,14,110,4,4,114,31,25,145,Baranya county,J05 K03 Ócsárd
J06 K04 Ófalu,71,10,81,8,8,89,28,23,117,Baranya county,J06 K04 Ófalu
J07 K06 Okorág,34,8,42,.,.,42,25,25,67,Baranya county,J07 K06 Okorág
J09 K08 Okorvölgy,18,5,23,1,1,24,12,12,36,Baranya county,J09 K08 Okorvölgy
J01 K02 Olasz,145,14,159,11,11,170,59,51,229,Baranya county,J01 K02 Olasz
J08 K07 Old,79,5,84,2,2,86,36,33,122,Baranya county,J08 K07 Old
J05 K03 Orfû,250,43,293,4,4,297,108,100,405,Baranya county,J05 K03 Orfû
J03 K05 Oroszló,58,23,81,3,3,84,34,28,118,Baranya county,J03 K05 Oroszló
J07 K06 Ózdfalu,39,4,43,1,1,44,16,12,60,Baranya county,J07 K06 Ózdfalu
J02 K05 Palé,21,3,24,2,2,26,8,8,34,Baranya county,J02 K05 Palé
J08 K07 Palkonya,56,15,71,3,3,74,34,28,108,Baranya county,J08 K07 Palkonya
J04 K02 Palotabozsok,236,31,267,5,5,272,107,90,379,Baranya county,J04 K02 Palotabozsok
J07 K06 Páprád,32,10,42,1,1,43,27,25,70,Baranya county,J07 K06 Páprád
J10 K09 Patapoklosi,65,21,86,5,5,91,37,32,128,Baranya county,J10 K09 Patapoklosi
